Substation,P_gross,Q_net,storage,solar,wind,hydro,other
PEHE,89.905,27.163937615000002,2.072,14.692999999999998,103.919,0.0,11.206
STEW,628.3019999999999,-89.683261485,60.887,133.51500000000001,322.11899999999997,0.256,109.664
HAWP,291.21,-52.198674083,56.974000000000004,89.64699999999999,105.391,1.341,32.87
HARK,842.968,60.05338192299998,21.401000000000003,266.745,414.89900000000006,25.508999999999993,163.29800000000003
BLHI,88.07868875,-8.325202604,3.183,23.99,193.438,3.0759999999999996,33.491
COCK,733.7570000000001,-223.696197346,16.467000000000002,69.965,280.029,2.238,70.48100000000001
HUNE,398.94199999999995,80.42477977300001,0.195,24.166999999999998,229.691,28.853,62.197
LOAN,687.5269999999999,33.144267013,70.24299999999998,64.527,254.57199999999997,7.737,133.29600000000002
NORT,500.852,-89.54580227000001,26.242,141.936,142.45000000000002,1.313,509.401
STHA,564.3620000000001,-45.154114162999996,0.275,34.068999999999996,178.79500000000002,82.378,95.278
TEAL,202.156,1.6118124239999982,11.655999999999999,97.111,66.566,9.339,34.840999999999994
TUMM,62.001,42.085033203,0.03,3.8600000000000003,0.9750000000000001,91.674,10.993
WIYH,660.271,-40.027262263000004,20.329999999999995,40.574999999999996,170.32200000000003,68.905,48.833
BEAU,235.21500000000006,-3.9041023369999968,0.489,23.416,81.865,98.44100000000002,10.031
KINT,194.97131124999996,-3.919212978000002,0.259,38.87,125.068,5.2330000000000005,21.211
NGET,26953.478000000017,-3123.9474459620023,1630.762999999999,12936.191000000003,3721.393999999998,93.47900000000001,9719.974999999999
