Substation,P,Q,storage,solar,wind,hydro,other
PEHE,417.0,77.7,14.0,176.0,203.0,3.0,36.0
STEW,795.0,-77.1,111.0,458.0,438.0,0.0,132.0
HAWP,391.0,-43.0,42.0,270.0,147.0,1.0,51.0
HARK,1265.0,130.9,94.0,930.0,558.0,30.0,200.0
BLHI,129.0,40.300000000000004,27.0,170.0,318.0,6.0,55.0
COCK,931.0,-151.5,40.0,242.0,392.0,1.0,85.0
HUNE,507.0,117.8,42.0,95.0,321.0,31.0,68.0
LOAN,923.0,47.7,59.0,275.0,355.0,7.0,120.0
NORT,648.0,-82.4,148.0,388.0,180.0,1.0,666.0
STHA,738.0,-23.200000000000014,5.0,103.0,306.0,119.0,94.0
TEAL,510.99,155.59999999999997,20.0,356.0,132.0,10.0,52.0
TUMM,90.0,260.09999999999997,0.0,46.0,1.0,95.0,9.0
WYHI,938.0,-25.599999999999998,82.0,167.0,174.0,79.0,37.0
BEAU,471.0,89.4,4.0,114.0,112.0,102.0,12.0
NGET,38390.3,-1379.1999999999998,6036.0,32388.0,5007.0,113.0,9752.0
