Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ABNE_P,Abernethy,T4,T,10.84,0.3,-1.3,1,74,26,2,3,0,0,N/A for summer
ABTH_1,Aberthaw,H2,H,74,-31.2,-43.1,2,167,1,0,70,0,0,N/A for summer
ABHA1,Abham,F6,F,104,-17.2,-29.9,32,478,1,2,88,0,0,N/A for summer
ACTL_C,Acton Lane 22kV,A7,A,13,0.0,-5.8,0,4,0,0,2,0,0,N/A for summer
ACTL_2,Acton Lane 66kV,A7,A,9,-0.9,-3.8,1,14,0,0,1,0,0,N/A for summer
ALNE_P,Alness,T5,T,41,3.8,2.9,0,14,32,7,5,0,0,N/A for summer
ALST_3,Alpha Steel (Uskmouth),H2,H,3,-0.1,-0.3,0,8,0,0,4,0,0,N/A for summer
ALVE1,Alverdiscott,F6,F,102,11.6,8.4,14,611,227,2,30,0,0,N/A for summer
AMEM_1,Amersham Main,A6,A,24,6.3,-3.7,153,38,0,0,3,0,0,N/A for summer
ARBR_P,Arbroath,T4,T,10,-1.0,-1.9,1,87,7,0,3,0,0,N/A for summer
ARDK_P,Ardkinglas,T3,T,0,0.0,0.0,0,3,0,5,0,0,0,N/A for summer
ARMO_P,Ardmore,T1,T,8,11.0,6.7,1,21,45,0,1,0,0,N/A for summer
AXMI1,Axminster,E1,E,67,8.3,0.7,56,432,0,0,11,0,0,N/A for summer
AYRR,Ayr,S6,S,16,1.4,-2.7,0,4,0,0,0,0,0,N/A for summer
BAIN,Bainsford,S5,S,12,1.8,-1.8,0,12,4,0,1,0,0,N/A for summer
BARKC1,Barking,A1,A,21,55.4,14.2,2,43,0,0,84,0,0,N/A for summer
BARKW3,Barking West,A1,A,90,64.0,14.2,0,6,0,0,34,0,0,N/A for summer
BAGA,Bathgate,S5,S,36,8.9,1.9,1,20,74,0,2,0,0,N/A for summer
