Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ABNE_P,Abernethy,T4,T,14.088,12.855,11.27515283,0.053,20.517,18.818,1.559,3.04,0,0.04,N/A for summer
ABTH_1,Aberthaw,H2,H,114.16,-31.188,-41.76698703,0.119,97.124,0.541,0,72.848,0,0.09,N/A for summer
ABHA1,Abham,F6,F,159.327,-10.091,-21.37852475,0.594,184.848,0.982,1.917,127.189,0,0.452,N/A for summer
ACTL_C,Acton Lane 22kV,A7,A,18.238,1.306,-3.817485814,0,0,0,0,0,0,0,N/A for summer
ACTL_2,Acton Lane 66kV,A7,A,13.739,-0.459,-3.015901329,0.031,3.882,0,0.279,0.346,0,0.024,N/A for summer
ALNE_P,Alness,T5,T,51.563,34.049,33.18943217,0.02,2.418,22.677,6.368,7.118,0,0.015,N/A for summer
ALST_3,Alpha Steel (Uskmouth),H2,H,1.561,-0.131,-0.293038566,0,0,0,0,0,0,0,N/A for summer
ALVE1,Alverdiscott,F6,F,194.239,12.529,9.622013292,5.862,281.435,167.975,2.485,3.92,1.877,0.389,N/A for summer
AMEM_1,Amersham Main,A6,A,42.77,3.452,-5.38063667,13.357,16.992,0.006,0,7,4.669,0.044,N/A for summer
ARBR_P,Arbroath,T4,T,11.87,3.781,2.917372336,0.052,26.407,4.757,0,2.335,0,0.039,N/A for summer
ARDK_P,Ardkinglas,T3,T,0.254,0,0,0,0,0,4.94,0,0,0,N/A for summer
ARMO_P,Ardmore,T1,T,10.716,-5.362,-9.612431811,0.313,1.633,33.648,0.139,0.35,0.106,0.01,N/A for summer
AXMI1,Axminster,E1,E,79.831,16.193,9.415869261,0.335,150.54,0.268,0.048,9.137,0.014,0.224,N/A for summer
AYRR,Ayr,S6,S,33.042,-1.382,-5.401867753,0.013,1.566,0.012,0,0.001,0,0.01,N/A for summer
BAIN,Bainsford,S5,S,21.585,-0.393,-3.978974121,0.01,1.264,3.884,0,4,0,0.008,N/A for summer
BARKC1,Barking,A1,A,53.792,44.877,8.31945828,0.114,15.509,0,0,74.47,0,0.087,N/A for summer
BARKW3,Barking West,A1,A,99.75,56.207,11.93945551,0,0,0,0,57.2,0,0,N/A for summer
BAGA,Bathgate,S5,S,65.941,7.853,0.872770138,0.035,4.308,52.585,0,0,0,0.026,N/A for summer
BEAU_P,Beauly,T1,T,16.27,0.704,-1.202724131,0.032,3.912,2.478,5.871,0,0,0.024,N/A for summer
BEDDT1,Beddington (_C),A8,A,49.904,0.237,-11.19607888,0.033,4.075,0,0,0,0,0.025,N/A for summer
BEDD_1,Beddington (_J),A8,A,215.096,7.436,-47.68032425,0.14,17.358,0,0.837,104.021,0,0.106,N/A for summer
BESW_1,Berkswell,L3,L,171.49,-39.561,-69.68602682,0.191,61.209,0.045,0.017,18.351,0,0.145,N/A for summer
BERB_P,Berryburn,T1,T,0,0,0,0,0,0,0,0,0,0,N/A for summer
BERW,Berwick,S6,S,91.035,7.296,-0.813491932,0.044,5.433,102.929,0,0.378,0,0.033,N/A for summer
BICF_1,Bicker Fen,K4,K,202.241,39.166,34.45283772,7.182,113.137,195.547,0,8.046,2.457,0.138,N/A for summer
BIRK_1,Birkenhead,N3,N,80.35,-63.474,-66.5904211,0.095,12.839,0.081,0,55.296,0,0.072,N/A for summer
BISW_1,Bishops Wood,L2,L,262.18,48.227,-27.8486423,40.845,149.732,35.322,0.315,141.081,14.041,0.642,N/A for summer
