Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ABNE_P,Abernethy,T4,T,43.315,2.131,0.720475953,0.053,20.517,18.818,1.559,3.04,0,0,-0.886
ABTH_1,Aberthaw,H2,H,201.258,16.908,-23.01208701,0.119,97.124,0.541,0,72.848,0,0,-4.123
ABHA1,Abham,F6,F,258.836,12.352,-8.390295685,0.594,184.848,0.982,1.917,127.189,0,0,-5.529
ACTL_C,Acton Lane 22kV,A7,A,38.19,1.52,-0.867250453,0,0,0,0,0,0,0,-0.825
ACTL_2,Acton Lane 66kV,A7,A,24.376,-0.069,-0.574159935,0.031,3.882,0,0.279,0.346,0,0,-0.58
ALNE_P,Alness,T5,T,30.751,0.397,-0.370442011,0.02,2.418,22.677,6.368,7.118,0,0,-0.746
ALST_3,Alpha Steel (Uskmouth),H2,H,2.103,0.537,0.244691669,0,0,0,0,0,0,0,-0.026
ALVE1,Alverdiscott,F6,F,228.501,35.983,17.51235108,5.862,281.435,167.975,2.485,3.92,0,0,-5.106
AMEM_1,Amersham Main,A6,A,72.632,10.486,0.139794251,13.357,16.992,0.006,0,7,0,0,-1.46
ARBR_P,Arbroath,T4,T,32.894,1.754,0.982933274,0.052,26.407,4.757,0,2.335,0,0,-0.81
ARDK_P,Ardkinglas,T3,T,0,0,0,0,0,0,4.94,0,0,0,0
ARMO_P,Ardmore,T1,T,32.374,5.27,1.475116307,0.313,1.633,33.648,0.139,0.35,0,0,-0.687
AXMI1,Axminster,E1,E,175.564,24.013,7.520607051,0.335,150.54,0.268,0.048,9.137,0,0,-3.696
AYRR,Ayr,S6,S,44.778,3.857,0.267969224,0.013,1.566,0.012,0,0.001,0,0,-1.17
BAIN,Bainsford,S5,S,16.749,3.344,0.14235948,0.01,1.264,3.884,0,4,0,0,-0.396
BARKC1,Barking,A1,A,110.312,43.709,6.401321017,0.114,15.509,0,0,74.47,0,0,-2.476
BARKW3,Barking West,A1,A,229.112,41.691,12.33293406,0,0,0,0,57.2,0,0,-5.124
BAGA,Bathgate,S5,S,34.976,9.998,3.765889558,0.035,4.308,52.585,0,0,0,0,-0.888
BEAU_P,Beauly,T1,T,28.965,4.469,2.766632657,0.032,3.912,2.478,5.871,0,0,0,-0.698
BEDDT1,Beddington (_C),A8,A,120.639,31.53,-3.515728301,0.033,4.075,0,0,0,0,0,-2.451
BEDD_1,Beddington (_J),A8,A,461.922,101.06,-13.63832208,0.14,17.358,0,0.837,104.021,0,0,-9.026
BESW_1,Berkswell,L3,L,321.204,-17.292,-49.85767028,0.191,61.209,0.045,0.017,18.351,0,0,-7.414
BERB_P,Berryburn,T1,T,0,0,0,0,0,0,0,0,0,0,0
BERW,Berwick,S6,S,37.801,7.508,0.2676583,0.044,5.433,102.929,0,0.378,0,0,-1.129
BICF_1,Bicker Fen,K4,K,141.279,20.097,5.636183091,7.182,113.137,195.547,0,8.046,0,0,-3.123
BIRK_1,Birkenhead,N3,N,230.841,-16.275,-61.32008316,0.095,12.839,0.081,0,55.296,0,0,-4.692
BISW_1,Bishops Wood,L2,L,518.532,50.456,16.09345365,40.845,149.732,35.322,0.315,141.081,0,0,-11.014
BLYTB1,Blyth 66kV,Q6,Q,531.314,-5.311,-4.504765317,0.21,26.025,94.758,0,43.387,0,0,-10.31
BLYTH132,Blyth 132kV,Q6,Q,60.957,-0.571,-0.511213158,0.06,33.676,106.956,0.035,0,0,0,-1.35
BOAG_P,Boat of Garten,T1,T,22.996,-0.182,-0.859433702,0.021,2.658,0.034,9.96,0.133,0,0,-0.612
BOLN_1,Bolney,B1,B,876.615,139.535,-55.54137379,44.557,111.528,0.261,0,66.404,0,0,-18.904
